start;stop;from;from_ip;server;server_dist;server_ping;download;upload;share_url
2016-03-08 23:30:01;2016-03-08 23:30:35;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;25.065 ms;87.17 Mbit/s;16.15 Mbit/s;http://www.speedtest.net/result/5151581840.png
2016-03-08 23:35:01;2016-03-08 23:35:31;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;23.829 ms;91.43 Mbit/s;17.75 Mbit/s;http://www.speedtest.net/result/5151589709.png
2016-03-08 23:40:01;2016-03-08 23:40:36;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;24.459 ms;91.47 Mbit/s;13.60 Mbit/s;http://www.speedtest.net/result/5151597674.png
2016-03-08 23:45:01;2016-03-08 23:45:33;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;26.67 ms;91.93 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5151605335.png
2016-03-08 23:50:01;2016-03-08 23:50:33;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;24.624 ms;89.58 Mbit/s;12.52 Mbit/s;http://www.speedtest.net/result/5151613078.png
2016-03-08 23:55:02;2016-03-08 23:55:31;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;25.771 ms;89.36 Mbit/s;19.17 Mbit/s;http://www.speedtest.net/result/5151620810.png
2016-03-09 00:00:01;2016-03-09 00:00:40;SFR;78.126.184.135;Proceau (Nanterre);8.78 km;27.435 ms;93.31 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5151628778.png
2016-03-09 00:05:01;2016-03-09 00:05:30;SFR;78.126.184.135;Proceau (Nanterre);8.78 km;25.122 ms;93.11 Mbit/s;19.58 Mbit/s;http://www.speedtest.net/result/5151636525.png
2016-03-09 00:10:01;2016-03-09 00:10:28;SFR;78.126.184.135;Proceau (Nanterre);8.78 km;24.791 ms;89.64 Mbit/s;19.58 Mbit/s;http://www.speedtest.net/result/5151644186.png
2016-03-09 00:15:01;2016-03-09 00:15:34;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;26.029 ms;93.29 Mbit/s;19.29 Mbit/s;http://www.speedtest.net/result/5151651957.png
2016-03-09 00:20:01;2016-03-09 00:20:31;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;25.177 ms;92.45 Mbit/s;16.99 Mbit/s;http://www.speedtest.net/result/5151659590.png
2016-03-09 00:25:01;2016-03-09 00:25:29;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;23.589 ms;89.34 Mbit/s;18.01 Mbit/s;http://www.speedtest.net/result/5151667123.png
2016-03-09 00:30:01;2016-03-09 00:30:35;SFR;78.126.184.135;Proceau (Nanterre);8.78 km;26.406 ms;88.44 Mbit/s;19.50 Mbit/s;http://www.speedtest.net/result/5151675220.png
2016-03-09 00:35:01;2016-03-09 00:35:30;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;26.026 ms;91.63 Mbit/s;19.48 Mbit/s;http://www.speedtest.net/result/5151683099.png
2016-03-09 00:40:01;2016-03-09 00:40:28;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;24.843 ms;92.33 Mbit/s;19.56 Mbit/s;http://www.speedtest.net/result/5151690590.png
2016-03-09 00:45:01;2016-03-09 00:45:34;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;25.184 ms;88.66 Mbit/s;19.56 Mbit/s;http://www.speedtest.net/result/5151698431.png
2016-03-09 00:50:01;2016-03-09 00:50:31;SFR;78.126.184.135;fdcservers.net (Paris);19.28 km;25.879 ms;92.70 Mbit/s;18.33 Mbit/s;http://www.speedtest.net/result/5151706151.png
